DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT,Porcentaje BTC,Porcentaje ETH,Porcentaje USDT,Porcentaje BNB,Porcentaje XRP,Porcentaje USDC,Porcentaje SOL,Porcentaje ADA,Porcentaje DOGE,Porcentaje TRX,Porcentaje Otros
2022-04-26,1866741324696.47,101627136740.13,770062638588.735,362882660774.2509,83136485138.50327,66155858373.49801,33418509890.621613,49926746964.71087,33775150456.568184,30330564958.86442,20887968071.328796,6638143035.130179,409526598444.2588,1990632265123.1377,873746449249.9098,364722314826.60846,68236507348.13703,0.4125170576131893,0.1943936505681928,0.04453562153396972,0.03543922100950697,0.017902057156234767,0.026745401895910192,0.018093106961169343,0.0162478671027418,0.011189535365712846,0.0035560058307540464,0.21938047496261814
2022-04-27,1833582128625.94,92881280075.91501,758166283873.4275,355453111764.47034,83162220306.2714,65035559618.5875,32387746948.4319,49749052647.784164,33298660689.961872,29350008426.104317,19727851344.689083,6530736892.638645,400720896113.57324,1990864004547.1643,873058135403.2375,365108471196.54504,68345253662.186745,0.4134891325765628,0.19385720782021462,0.04535505609917346,0.03546912821806581,0.017663646717969928,0.02713216488702657,0.018160441340533465,0.016006923261244258,0.01075918609627421,0.0035617367723433722,0.21854537621059145
2022-04-28,1800422932555.41,84135423411.7,746269929158.1199,348023562754.6897,83187955474.03952,63915260863.676994,31356984006.242184,49571358330.85747,32822170923.355556,28369451893.34421,18567734618.04937,6423330750.147112,391915193782.88794,1991095743971.191,872369821556.5654,365494627566.4816,68453999976.23646,0.414497013820475,0.19330100525920674,0.04620467445166766,0.035500137055552605,0.01741645445591831,0.027533174252840093,0.018230255974783536,0.015757104278314404,0.010312984956093325,0.003567678812572238,0.217679516682576
2022-04-29,1777877775275.68,88887923667.73,740313849837.4164,343824325341.50256,83171078343.55441,64056307707.66392,30387271587.93152,49472397173.65824,32104764240.926758,27764372614.030113,18246935997.61837,6445578484.872856,382090893946.5049,1991425251330.8071,871793008094.6642,365882345153.47125,68561059738.26503,0.4164031184441925,0.1933903050721182,0.04678110019720439,0.0360296464686563,0.017091878874080434,0.027826658199823096,0.01805791415326543,0.015616581184679545,0.010263324201118931,0.003625433972182591,0.2149140392326785
2022-04-30,1755332617995.95,93640423923.76,734357770516.7129,339625087928.31537,83154201213.06932,64197354551.65084,29417559169.62085,49373436016.459015,31387357558.49796,27159293334.71601,17926137377.18737,6467826219.5986,372266594110.1216,1991754758690.423,871216194632.763,366270062740.4609,68668119500.29361,0.4183581863562267,0.19348189878455216,0.04737233294736233,0.03657275771753417,0.016758965718535246,0.028127681050459995,0.017881145280791665,0.015472448387430738,0.010212387779618377,0.0036846727242970446,0.2120775232531914
2022-05-01,1746011055851.045,88567611058.695,733385546669.2822,340289285325.67126,83157288524.58597,63968714751.9444,29304306114.7259,49330988608.5775,30688861371.42194,26920049324.62171,17774710538.325638,6852525587.526573,364338779034.3618,1991706780852.7617,870430945374.8313,366627704845.2877,68775567873.05983,0.4200348813437574,0.1948952637987774,0.047627011436106426,0.03663706168273065,0.016783574202766043,0.02825353736636706,0.017576556155575716,0.015418029132410204,0.010180182123567279,0.003924674797770108,0.20866922796017173
2022-05-02,1736689493706.14,83494798193.63,732413322821.8514,340953482723.0272,83160375836.10262,63740074952.237946,29191053059.830944,49288541200.695984,29990365184.34592,26680805314.527416,17623283699.46391,7237224955.454545,356410963958.6018,1991658803015.1003,869645696116.8997,366985346950.1146,68883016245.82605,0.42172957542275596,0.19632380109320738,0.04788442386360975,0.03670205594220242,0.0168084468557108,0.028380744732619402,0.01726869730774136,0.015363025694126757,0.010147630744201355,0.004167253260690903,0.20522434508313392
2022-05-03,1721972262427.14,78015824463.555,725483722177.353,338373808380.1845,83159986309.38678,63210822332.47826,29173912778.64328,49159394366.65069,29344823742.456093,26347566995.90435,17435114386.91623,7296740457.732152,352986370499.4346,1991362435826.3914,868750245918.0647,367298988657.59937,68989748240.08365,0.4213097609103037,0.19650363467715948,0.048293452876047964,0.03670838590825027,0.01694215023970381,0.028548307913717468,0.01704140326923398,0.015300808015784846,0.01012508433924553,0.004237432052155887,0.20498957979839716
2022-05-04,1707255031148.14,72536850733.48,718554121532.8545,335794134037.3418,83159596782.67094,62681569712.71856,29156772497.455616,49030247532.60539,28699282300.566265,26014328677.28129,17246945074.36855,7356255960.009759,349561777040.26733,1991066068637.6824,867854795719.2299,367612630365.08417,69096480234.34126,0.42088270845488285,0.1966865687380743,0.04870953388067955,0.03671482500805097,0.017078158778567196,0.028718760020072828,0.016810190497002556,0.0152375176541647,0.010102149215966796,0.004308820782951584,0.2047507669695866
2022-05-05,1692164555841.145,93430970551.2,707089260809.4309,333585587454.7999,83159622403.79169,62223214723.74145,29021417343.68679,48943169096.46938,28465514174.625713,26289564357.067463,17136046474.36754,7452702190.420407,348798456812.7439,1990559273563.6956,866835000084.9612,367882682958.0133,69202564763.71045,0.41786081523138235,0.19713543006399897,0.049143933500282136,0.03677137339211752,0.01715046993716327,0.02892340991750687,0.016821953914804705,0.015536056624232616,0.010126702166887968,0.004404241989760743,0.20612561326186285
2022-05-06,1677074080534.15,114325090368.92,695624400086.0074,331377040872.2581,83159648024.91241,61764859734.76434,28886062189.91797,48856090660.333374,28231746048.68516,26564800036.853638,17025147874.366531,7549148420.831056,348035136585.22,1990052478489.7087,865815204450.6924,368152735550.9425,69308649293.07965,0.4147845394309894,0.19759236918545314,0.04958615065974067,0.03682893943187779,0.017224082421402474,0.029131742734210438,0.016833929029356483,0.01583996815954172,0.010151696977478778,0.0045013804151255166,0.20752520155482357
