DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,MA200,MA200/BTC,MA200/ETH,MA200/USDT,MM,NVT-smooth
2020-09-01 02:00:00,377429479714.17,99201011088.05,215812532256.5438,48940329053.78282,13356630135.180603,3348222121.8411016,12660299198.771599,1475019661.964187,152331536.68287295,3183292401.3106046,405602720.2108805,2100971504.2877586,250619037445.43945,163341572343.47583,22710259746.251816,5953825932.29422,1.3212345709684468,3.7185388777566253
2020-09-03 02:00:00,375587086048.11,136115249524.18,210654099515.1613,49413741506.46871,13656278428.53147,3564342761.1819167,12443046885.16644,1517383864.9611156,137268967.9628103,2995209827.3218718,393959616.44790274,2472309750.818165,251167477008.46335,163537761099.25345,22844576748.21448,6001915985.23423,1.288106784018599,3.635096841082911
2020-09-05 02:00:00,342425218920.61,140210466280.47,194282934331.91547,43554353677.51056,13997681274.23397,3041894722.2342424,11499780283.44932,1651512824.9042892,119042093.34916054,2651627110.376872,364300727.3152918,2535629493.8646426,251465164815.61218,163579339850.31546,22945555871.095947,6051657689.455247,1.1876984863106526,3.5563858577997927
2020-09-07 02:00:00,330496789159.04,164069975000.42,189960683045.26556,39794578364.473145,14152059118.090878,3345759293.2314496,10847319383.37107,1728444795.913903,103760929.39402574,2412503158.568688,351977659.52706814,2256393197.5758204,251664973055.4893,163562817306.4076,23025187311.946182,6102193944.034241,1.16139282859995,3.352859766628408
2020-09-09 02:00:00,323532314808.98,138423927251.43,187250430114.64215,37900680460.17524,14236222555.575073,3351877841.3598056,10667627990.2432,1793628904.8175302,84763432.47344774,2359889434.5546517,348331319.6515947,2515882258.350075,251728446673.95145,163444412303.43005,23089301425.273106,6152963738.353898,1.1456520750737986,3.2929938856424186
2020-09-11 02:00:00,336184918587.58,223147985654.59,190917996307.65613,41427869304.223755,14422830441.998583,3536649787.6452837,10959334715.998539,1848446087.8118231,120976183.42656691,2516665734.220627,355960612.54377145,2369014824.799771,251857492527.2909,163329276676.2776,23174984362.3926,6204861129.57277,1.1689147236356163,3.184026193832069
2020-09-13 02:00:00,344614053270.44,149284620904.12,193252986763.48996,43624737350.487854,14708557413.38245,4101633575.084289,11164602104.396257,1954734228.157353,117202017.94049607,2533762328.650001,355718052.1302372,2332519726.6809993,252062634714.37558,163235220524.39148,23280026284.388073,6258242786.617967,1.183892704911763,3.090629385614303
2020-09-15 02:00:00,347071719896.29,142097718959.51,197689016053.30856,42610480757.47489,14722393746.764187,4451019698.9475765,11090476122.138771,2016066778.767898,118979722.62735493,2508717836.174023,353687207.0561314,2175952388.0139327,252297938065.12277,163194631858.1618,23377383564.997684,6311656026.036289,1.2113696008403454,3.0275519632149477
2020-09-17 02:00:00,347965535929.32,129292211243.73,202875848583.673,41114245703.38511,15018797689.311815,4049955388.846466,11164051035.153816,2090326000.7470133,93358679.04062536,2815725657.904655,356808952.64152527,1902523970.7649457,252607148079.37445,163236198045.9438,23470973173.93513,6366599766.224667,1.242836154065365,2.974845110514012
2020-09-19 02:00:00,350895477289.46,122167455145.26,202470526419.51425,43223476166.52396,15135869854.949436,3961590454.2435455,11247303287.972795,2176415859.909172,116089224.27121332,2823779656.835842,351398322.240351,2082617994.6261895,253018164354.1191,163327460918.84015,23585935844.131485,6421991393.011417,1.2396600380638065,2.9482602701135514
