DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,MA200,MA200/BTC,MA200/ETH,MA200/USDT,MM,NVT-smooth
2017-04-15,28591849472.0,553404016.0,19064457780.85144,4490972862.136836,50732540.107133195,0.0,1278764072.0441847,0.0,0.0,0.0,46243388.54079419,0.0,14221303345.92,11403447735.104395,1203480869.1182969,11619154.947368989,1.6718230545943786,42.291515412270556
2017-04-16,28666099712.0,415431008.0,19085099185.74463,4450139912.377387,50740673.16130089,0.0,1271607794.7871358,0.0,0.0,0.0,45481838.63533326,0.0,14272567470.08,11435027351.557283,1212444384.0272057,11742377.64671144,1.6690033699959204,44.06005333521819
2017-04-17,28838899712.0,466225008.0,19259439811.90454,4418998782.396146,50724322.36515712,0.0,1267067108.3794518,0.0,0.0,0.0,48135092.267586,0.0,14324345744.64,11467754823.95614,1220593572.2525654,11865518.876298279,1.679413225978457,44.48893404449848
2017-04-18,29011699712.0,517019008.0,19433780438.064453,4387857652.414904,50707971.56901335,0.0,1262526421.9717674,0.0,0.0,0.0,50788345.89983874,0.0,14376124019.2,11500482296.354998,1228742760.4779253,11988660.105885116,1.689823081960994,44.91781475377877
2017-04-19,29161499648.0,545439488.0,19576859301.18457,4380826736.841651,52753338.79977074,0.0,1199113374.3988757,0.0,0.0,0.0,49819329.602450915,0.0,14428863018.240002,11533814162.356285,1237144699.1795611,12122027.865337502,1.6973231088797889,45.38716060046076
2017-04-20,29311299584.0,573859968.0,19719938164.304688,4373795821.268398,54798706.03052813,0.0,1135700326.825984,0.0,0.0,0.0,48850313.30506309,0.0,14481602017.28,11567146028.35757,1245546637.8811967,12255395.624789886,1.7048231357985837,45.85650644714274
2017-04-21,29500850176.0,547519488.0,19816901752.04065,4377542756.584131,54332520.363941774,0.0,1195267693.7358646,0.0,0.0,0.0,49310998.89614203,0.0,14535504693.76,11600814841.291353,1254329989.3483543,12386432.521666136,1.7082237350574263,47.03596306478438
2017-04-22,29690400768.0,521179008.0,19913865339.77661,4381289691.899863,53866334.69735541,0.0,1254835060.645745,0.0,0.0,0.0,49771684.48722096,0.0,14589407370.24,11634483654.225136,1263113340.8155122,12517469.418542383,1.7116243343162691,48.21541968242603
2017-04-23,29650850816.0,551068992.0,19809658129.34265,4413878795.606754,52144767.75946082,0.0,1219101197.6409407,0.0,0.0,0.0,53551594.3035636,0.0,14643651596.8,11668013260.35669,1272173773.6805468,12639898.43665283,1.6978144203542767,48.48236837738736
2017-04-24,29611300864.0,580958976.0,19705450918.90869,4446467899.313646,50423200.82156624,0.0,1183367334.636136,0.0,0.0,0.0,57331504.11990625,0.0,14697895823.36,11701542866.488243,1281234206.545581,12762327.454763277,1.6840045063922842,48.74931707234869
