DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT
2021-06-21,1376885062969.1348,97595621055.205,628495999317.2959,235802344265.61255,62654088129.75395,46292461554.06283,31474983672.11579,24684374286.4874,8371593796.612466,40754417631.31054,29976912047.57089,4357070550.054393,264020817718.2581,914741246793.3276,510077157382.9904,127610445138.4555,25948348116.516144
2021-06-22,1276173404169.88,126542176910.78,589054525426.83,218703393978.78745,62639229942.88674,41109109842.79194,27843667244.482704,24986758792.77405,7116342920.241821,37079756473.610016,22565563044.898552,3804961402.3266783,241270095100.25,917249746650.6512,511104639107.4843,128099745953.5369,26082942556.32075
2021-06-23,1314695858285.065,115183021775.54,609324991869.6277,223468874969.1617,62692954239.10196,43282414049.77226,28781844204.91021,25216217498.72636,7758803969.30131,38516862586.4219,26576752284.696663,3977553462.908124,245098589150.437,919978888350.806,512231835594.57776,128611058772.44742,26217862829.20419
2021-06-24,1353218312400.25,103823866640.3,629595458312.4255,228234355959.536,62746678535.31718,45455718256.75259,29720021165.337715,25445676204.67867,8401265018.360797,39953968699.23378,30587941524.494778,4150145523.4895697,248927083200.6233,922708030050.9604,513359032081.67126,129122371591.35796,26352783102.087627
2021-06-25,1315633654728.4102,98630062378.91,608959237962.2094,219089838424.85187,62642165621.78366,44160258681.86455,28912284863.78756,25545534574.9244,8081140141.902084,39952374859.70198,30627838319.487568,4252325051.7505937,243410656226.1464,925275959854.268,514413116433.6563,129591875368.05754,26487081249.582424
2021-06-26,1278048997056.57,93436258117.52,588323017611.9932,209945320890.1677,62537652708.25014,42864799106.97651,28104548562.2374,25645392945.17013,7761015265.443372,39950781020.17018,30667735114.48036,4354504580.011618,237894229251.66943,927843889657.5754,515467200785.64136,130061379144.75713,26621379397.07722
2021-06-27,1329831425087.2002,84609266733.20999,619998119656.0718,220640356186.2094,62550792410.37413,43783380212.951385,29124136946.423645,25717300361.130383,8229874164.735583,41416522835.0461,32606278240.472923,4503106789.561548,241261557284.22318,930657732234.0724,516673688015.3358,130581922909.74556,26755693771.027573
2021-06-28,1381613853117.83,75782275348.9,651673221700.1504,231335391482.2512,62563932112.49812,44701961318.92626,30143725330.609886,25789207777.090645,8698733064.027796,42882264649.92203,34544821366.46549,4651708999.111478,244628885316.7766,933471574810.5692,517880175245.03033,131102466674.73404,26890008144.97792
2021-06-29,1417335438629.85,84144599943.715,661861827270.3057,241483015969.62848,62511228644.703445,45291724553.10625,31269599569.74385,25517744824.242565,8930561350.092934,43285414073.63876,34317367375.165382,4748063213.035627,258118891786.1873,936478894004.8682,519150841853.4133,131674533601.01622,27024127246.566696
2021-06-30,1453057024141.87,92506924538.53,672050432840.4609,251630640457.0058,62458525176.908775,45881487787.286224,32395473808.87782,25246281871.394485,9162389636.158072,43688563497.35549,34089913383.86528,4844417426.959778,271608898255.5974,939486213199.1672,520421508461.7963,132246600527.2984,27158246348.155468
2021-07-01,1418442624062.75,88654866322.20999,649724359808.4387,248212640775.8085,62429011667.86587,44952265495.36353,31405822356.99899,25230374741.365807,9095757339.087234,43080831129.38237,32881074926.035385,4734847974.900267,266695637847.50345,942305008701.594,521567695708.5913,132800587812.28178,27292160832.03049
2021-07-02,1383828223983.63,84802808105.89,627398286776.4164,244794641094.6112,62399498158.82296,44023043203.44085,30416170905.12016,25214467611.33713,9029125042.016396,42473098761.40925,31672236468.205486,4625278522.8407545,261782377439.4092,945123804204.0206,522713882955.38617,133354575097.26517,27426075315.90552
2021-07-03,1408819331467.6948,72639774763.56,638774633148.2898,252283355849.69623,62385734850.26688,44855518134.17813,30721882403.794403,25357784544.58802,9217205647.407578,43645105136.01918,31869222562.050037,4705074730.536419,265003814460.86816,948049572016.9114,523905621280.7618,133942635620.4687,27559941874.182247
2021-07-04,1433810438951.76,60476741421.23,650150979520.1631,259772070604.78125,62371971541.71079,45687993064.91541,31027593902.468647,25501101477.83891,9405286252.79876,44817111510.62912,32066208655.89458,4784870938.232084,268225251482.3274,950975339829.802,525097359606.1375,134530696143.67224,27693808432.45897
